Gene999	CSF3R
Gene1000	CSK
Gene1001	CSNK1A1
Gene1002	CSNK1A1L
Gene1003	CSNK1E
Gene1004	CSNK1G1
Gene1005	CSNK2A1
Gene1006	CSNK2A2
Gene1007	CSNK2B
Gene1008	CSPG4
Gene1009	CSPP1
Gene1010	CSRP1
Gene1011	CSRP3
Gene1012	CST1
Gene1013	CST2
Gene1014	CST4
Gene1015	CST5
Gene1016	CST7
Gene1017	CTAG1B
Gene1018	CTBP1
Gene1019	CTBP2
Gene1020	CTCF
Gene1021	CTCFL
Gene1022	CTDSPL
Gene1023	CTH
Gene1024	CTHRC1
Gene1025	CTLA4
Gene1026	CTNNA1
Gene1027	CTNNAL1
Gene1028	CTNNB1
Gene1029	CTNND1
Gene1030	CTNND2
Gene1031	CTRL
Gene1032	CTSA
Gene1033	CTSC
Gene1034	CTSG
Gene1035	CTSH
Gene1036	CTSK
Gene1037	CTSL
Gene1038	CTTN
Gene1039	CTTNBP2NL
Gene1040	CTXN3
Gene1041	CUBN
Gene1042	CUEDC2
Gene1043	CUL1
Gene1044	CUL2
Gene1045	CUL3
Gene1046	CUL4A
Gene1047	CUL4B
Gene1048	CUL5
Gene1049	CUTA
Gene1050	CUX2
Gene1051	CUZD1
Gene1052	CX3CL1
Gene1053	CX3CR1
Gene1054	CXADR
Gene1055	CXCL10
Gene1056	CXCL11
Gene1057	CXCL12
Gene1058	CXCL13
Gene1059	CXCL16
Gene1060	CXCL2
Gene1061	CXCL5
Gene1062	CXCL6
Gene1063	CXCL9
Gene1064	CXCR1
Gene1065	CXCR2
Gene1066	CXCR3
Gene1067	CXCR4
Gene1068	CXCR5
Gene1069	CXCR6
Gene1070	CYBA
Gene1071	CYBB
Gene1072	CYBC1
Gene1073	CYCS
Gene1074	CYFIP2
Gene1075	CYHR1
Gene1076	CYLD
Gene1077	CYP11A1
Gene1078	CYP11B2
Gene1079	CYP17A1
Gene1080	CYP19A1
Gene1081	CYP1A1
Gene1082	CYP1A2
Gene1083	CYP1B1
Gene1084	CYP20A1
Gene1085	CYP24A1
Gene1086	CYP27A1
Gene1087	CYP27B1
Gene1088	CYP2A6
Gene1089	CYP2C19
Gene1090	CYP2C8
Gene1091	CYP2C9
Gene1092	CYP2D6
Gene1093	CYP2J2
Gene1094	CYP3A5
Gene1095	CYP46A1
Gene1096	CYP4F2
Gene1097	CYP7A1
Gene1098	CYREN
Gene1099	CYSLTR1
Gene1100	CYSLTR2
Gene1101	CYTH2
Gene1102	CYTOR
Gene1103	DAB1
Gene1104	DAB2
Gene1105	DACH1
Gene1106	DACH2
Gene1107	DACT2
Gene1108	DAG1
Gene1109	DAO
Gene1110	DAOA
Gene1111	DAP
Gene1112	DAP3
Gene1113	DAPK1
Gene1114	DAXX
Gene1115	DAZAP1
Gene1116	DAZAP2
Gene1117	DAZL
Gene1118	DBN1
Gene1119	DBR1
Gene1120	DCAF1
Gene1121	DCDC1
Gene1122	DCLK1
Gene1123	DCT
Gene1124	DCTN1
Gene1125	DCX
Gene1126	DDB1
Gene1127	DDB2
Gene1128	DDC
Gene1129	DDI2
Gene1130	DDIT3
Gene1131	DDIT4L
Gene1132	DDR1
Gene1133	DDR2
Gene1134	DDX1
Gene1135	DDX10
Gene1136	DDX19A
Gene1137	DDX20
Gene1138	DDX21
Gene1139	DDX25
Gene1140	DDX27
Gene1141	DDX28
Gene1142	DDX31
Gene1143	DDX39B
Gene1144	DDX3X
Gene1145	DDX3Y
Gene1146	DDX43
Gene1147	DDX50
Gene1148	DDX51
Gene1149	DDX53
Gene1150	DDX55
Gene1151	DDX58
Gene1152	DDX6
Gene1153	DEFA1
Gene1154	DEFA6
Gene1155	DEFB103B
Gene1156	DEFB4A
Gene1157	DEK
Gene1158	DEPDC7
Gene1159	DEPTOR
Gene1160	DERL3
Gene1161	DGAT1
Gene1162	DHCR24
Gene1163	DHCR7
Gene1164	DHDDS
Gene1165	DHFR
Gene1166	DHODH
Gene1167	DHRS1
Gene1168	DHRS2
Gene1169	DHX29
Gene1170	DHX30
Gene1171	DHX34
Gene1172	DHX57
Gene1173	DHX9
Gene1174	DIABLO
Gene1175	DICER1
Gene1176	DIO2
Gene1177	DIP2A
Gene1178	DIP2B
Gene1179	DIRAS3
Gene1180	DIS3
Gene1181	DIS3L2
Gene1182	DISC1
Gene1183	DISP1
Gene1184	DKC1
Gene1185	DKK1
Gene1186	DKK3
Gene1187	DLD
Gene1188	DLEC1
Gene1189	DLEU1
Gene1190	DLEU2
Gene1191	DLG1
Gene1192	DLG4
Gene1193	DLK1
Gene1194	DLK2
Gene1195	DLL1
Gene1196	DLL3
Gene1197	DLL4
Gene1198	DLX4
Gene1199	DMBX1
Gene1200	DMD
Gene1201	DMKN
Gene1202	DMPK
Gene1203	DMRT2
Gene1204	DMWD
Gene1205	DMXL1
Gene1206	DMXL2
Gene1207	DNAH1
Gene1208	DNAH10
Gene1209	DNAH11
Gene1210	DNAH12
Gene1211	DNAH14
Gene1212	DNAH2
Gene1213	DNAH5
Gene1214	DNAH7
Gene1215	DNAH8
Gene1216	DNAH9
Gene1217	DNAI1
Gene1218	DNAJA1
Gene1219	DNAJA3
